SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112
498,4,1,0,0,0,0,0,1,0,2,20,10,3,4.75,26,0.1,1,75,2,10,12,0.91,0.84,0.85,2,2,1,1,111792,2,21,5.5,3,5,26,NA,1,2,10,12,0.98,0.84,0.9,2,2
501,1,0,0,0,0,0,0,1,0,0,14,15,3,4.25,4,0.37,1,63,2,6.5,16.5,0.84,0.84,0.94,3,3,1,1,111792,2,30,15,6,4.75,4,0.35,1,1,6,18,1.03,0.91,0.91,3,3
503,1,0,0,0,0,0,0,1,0,2,7.5,14,4,4.75,NA,0.12,0,100,2,6.5,16.5,0.97,0.84,0.91,3,3,1,1,110792,NA,35,6.5,3,4.5,13,0.15,0,2,6,18,0.97,0.84,1,3,3
511,3,1,0,0,0,0,0,1,0,0,4,16,3,4.75,9,0.15,0,75,2,6,16.5,1.01,0.91,1.05,4,4,1,1,111192,NA,3,13,3,4.75,NA,NA,0,2,7,15,1.01,1.01,0.89,6,2
514,3,0,0,0,0,0,0,1,0,0,5,20,3,4.5,26,0.25,0,25,2,6,16,0.94,0.9,0.94,5,3,1,1,111192,1,23,16,3,4.25,10,0.2,0,2,6,16,0.95,0.95,1.05,6,4
516,3,1,0,0,0,0,0,1,0,2,6,22.5,3,4.75,13,0.12,0,23,3,6,16,1.05,0.91,1.05,4,3,1,1,111692,NA,2,12,2,4.91,14,0.18,1,2,8,14,1.01,0.95,0.89,5,3
521,1,0,0,0,0,0,1,0,0,0,2.5,20,3,4.25,13,NA,1,50,2,6.5,16.5,NA,NA,0.52,4,4,1,1,110792,NA,0,12,8,4.4,13,0.13,1,2,7,16,0.41,0.84,0.89,4,2
522,1,0,0,0,0,0,1,0,0,2,2,30,4,4.35,26,0.2,0,75,3,7,16,1,0.87,0.94,3,3,1,1,110792,NA,3,23,3,4.25,26,0.15,0,3,7,16,1,0.74,0.95,3,3
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0.25,0,100,1,11,7,1.2,1.17,2.35,4,2,1,1,111792,1,5,2,2,5.05,13,0.15,0,1,10,8,1.11,1.01,2.23,4,2
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5.12,6,0.25,0,0,3,11,11,1.06,0.85,2.49,6,5,1,1,110592,NA,4,17,3,5.05,13,0.25,1,2,11,11,1.05,0.94,2.6,6,3
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.56,6,NA,1,NA,2,7,16,1.06,0.91,0.98,4,2,1,1,111792,2,10,20,4,5.05,NA,NA,0,2,7,16,1.01,0.94,0.94,5,4
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,NA,0.37,0,0,1,11,10,1.06,0.85,2.34,4,3,1,1,111292,NA,0,7,4,5.05,26,0.25,0,1,11,10,1.05,0.84,2.53,4,3
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0.37,0,0,1,11,10,1.06,1.06,2.53,2,2,1,1,111292,NA,4,3,2,5.05,19,0.25,1,1,11,10,0.94,0.92,2.69,2,2
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,0.15,0,0,2,11,11,1.03,1.06,2.56,4,3,1,1,111492,3,6,15,5,5.05,26,0.25,0,1,10.5,12.5,1,1.05,2.64,4,4
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0.25,0,7,2,6,17,1.02,1.07,0.95,5,4,1,1,111392,NA,6,11,5,5.05,NA,0.2,0,2,6,17,1.11,1.06,1.05,4,2
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,0.17,1,0,2,10.5,13,1.02,0.91,2.57,2,2,1,1,111492,NA,10,35,6,5.05,26,0.15,1,2,10.5,12.5,0.95,0.89,1.19,2,2
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0.15,0,100,2,6,19,1.18,1.07,1.17,6,5,1,1,111992,4,4,60,3,5.05,52,0.15,0,2,6,19,1.06,1.06,1.05,6,2
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0.15,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,NA,10,12,2,5.05,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0.1,0,95,2,10,12,1.06,0.98,1.06,2,2,2,1,121592,3,0,45,4,5.05,NA,NA,1,2,10.5,11.5,1.11,0.98,2.07,2,1
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,0.37,1,0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,111492,NA,25,8,4,5.05,13,0.18,1,2,10.5,13.5,1.11,0.98,1.05,2,2
85,1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,0.52,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,NA,0,35,3,5.05,26,0.18,0,1,9,12.5,1.11,1.01,1.05,5,1
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0.17,0,0,2,7,16,1.09,0.95,1.04,3,2,1,1,111092,NA,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0.25,0,0,3,11,10,1.06,0.8,2.56,NA,NA,1,1,111292,NA,2,20,4,5.05,52,0.25,0,1,11,10,1.05,0.79,2.53,3,NA
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,NA,NA
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,NA,0.15,0,NA,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,NA,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,NA,NA,0,2,7,15,1.05,1.11,1.05,5,4
144,4,0,1,0,1,0,0,0,0,2,10,30,3,5.05,26,0.15,1,0,2,10.5,12.5,0.91,0.85,1.06,2,2,1,1,111792,1,4,37,3,5.05,26,0.35,1,2,10.5,12.5,0.94,0.94,1.26,2,2
145,1,0,1,0,0,1,0,0,0,0,5,17,3,5,13,0.15,1,0,2,7,16,1.06,0.95,0.95,3,2,1,1,111092,NA,10,8,4,5.28,26,0.13,1,2,7,16,1.05,0.96,0.95,3,2
147,1,0,1,0,0,1,0,0,0,0,8.5,6.5,3,5.12,8,0.25,0,100,2,7,14,1.12,0.89,0.95,2,2,1,1,111892,1,6,0,3,5.25,13,0.38,0,2,7,14,1.13,0.91,0.91,2,2
148,1,0,1,0,0,1,0,0,0,4,4.5,30,4,5.25,26,0.17,1,0,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,NA,7.5,30,4,5.05,26,0.2,1,2,7,17,1.05,0.94,0.94,3,3
152,1,0,1,0,0,1,0,0,0,0,35,15,4,5.12,9,0.67,1,10,1,7,15,1.17,0.95,1.02,3,2,1,1,111092,NA,12,13.5,5,5.05,13,0.28,0,2,7,15,1.16,0.94,0.94,3,3
157,2,0,1,0,0,1,0,0,0,0,10,5,3,5,26,0.25,0,0,1,10.5,12,0.91,0.85,2.34,3,3,1,1,111792,2,12,8,2,5.5,26,0.25,0,1,10.5,11,0.95,0.83,2.47,2,2
161,3,1,1,0,0,1,0,0,0,0,8,25,4,5,19,0.15,0,2,2,6,17,1.12,1.02,1.06,7,3,1,1,111992,4,26,12,4,5.05,NA,NA,0,2,6,17,1.11,1.06,1.05,7,5
163,3,1,1,0,0,1,0,0,0,0,12,18,3,5,13,0.15,0,11,2,6,16.5,1.2,1.07,1.06,3,3,1,1,111292,NA,1.5,33,3,5.05,26,0.15,0,2,7,15,NA,NA,NA,NA,NA
164,3,1,1,0,0,1,0,0,0,0,4,30,4,5,26,0.1,0,3,2,5,19,1.12,1.02,1.06,5,3,1,1,111292,NA,5,15,3,5.05,52,0.15,0,2,6,17,1.11,1.06,1.05,5,3
165,4,0,1,0,0,1,0,0,0,1,20,10,3,5,15,0.27,1,60,2,10.5,12.5,1.06,0.89,1.06,3,2,1,1,111792,1,10,17,4,5.05,14,0.13,0,2,10.5,12.5,1.05,0.98,1.05,2,2
169,1,1,1,0,0,1,0,0,0,0,12,33,4,5,13,0.25,0,50,2,7,16,1.1,0.94,1.04,3,3,1,1,111692,NA,20,6,4,5.05,52,0.15,0,2,7,16,1.11,1.05,1.05,3,3
170,1,1,1,0,0,1,0,0,0,1,10,20,3,5,52,0.52,0,0,2,7,16,1.1,1.02,1.08,3,2,1,1,111092,NA,20,20,4,5.05,4,NA,0,1,7,16,1.29,1.11,1.18,4,4
187,3,0,1,0,0,1,0,0,1,0,4,20,3,5.62,26,0.52,0,2,2,7,15,1.12,1.09,1.06,4,3,1,1,111292,NA,5,17.5,3,5.05,13,0.2,0,2,7,15,1.11,1.06,1.05,4,4
190,3,1,1,0,0,1,0,0,0,0,5,42,4,5,26,0.12,1,NA,2,6,16,1.02,1.07,1.06,5,NA,1,1,111292,NA,7,30,4,5.05,26,0.18,0,2,7,15,1.05,1.01,1.74,5,3
196,4,1,1,0,0,1,0,0,0,0,8,19,4,5,26,0.2,0,NA,2,10.5,11.5,0.95,0.85,1.06,2,2,1,1,111392,NA,0,30,3,5.05,26,0.18,0,2,10.5,12.5,1,0.9,2.11,2,2
197,1,0,1,0,0,1,0,0,0,0,23,10,4,5,26,0.25,0,50,2,7,17,0.99,0.89,0.89,3,2,1,1,111792,1,5,21,5,5.05,26,0.13,0,3,7,17,1.05,0.95,0.95,3,1
234,1,0,1,0,0,1,0,0,0,2,0,10,3,5,26,NA,0,0,2,7,16,1.12,NA,0.49,2,2,1,1,111892,2,10,4,3,5.05,26,NA,0,2,7,16,1.04,1.01,0.58,3,2
240,3,1,1,0,0,1,0,0,0,0,15,35,3,5.1,26,0.25,0,20,2,6,17,1.18,1.02,1.06,6,4,1,1,111692,1,15,15,3,5.05,26,0.15,0,2,6,17,1.1,1,1.05,6,4
242,3,1,1,0,0,1,0,0,0,0,25,10,3,5.25,13,0.25,1,0,2,6,17,1.1,1.02,1.06,5,4,1,1,111192,NA,12,10,3,5.05,8,0.2,1,2,7,16,1.11,1.06,1.05,6,4
245,3,0,1,0,0,1,0,0,0,3,15,8,3,5.5,NA,NA,0,0,1,8.5,13.5,1.2,1.02,1.02,4,2,1,1,111792,3,8,12,4,5.05,26,NA,0,1,8.5,13,1.11,1.11,1.05,5,1
259,1,0,1,1,0,0,0,0,0,0,13,12,4,5,4,0.25,0,50,2,7.5,14.5,1.02,0.85,0.85,3,3,1,1,110992,NA,15,15,4,5.05,NA,NA,0,2,7.5,14.5,1.05,NA,0.84,3,3
268,1,1,1,1,0,0,0,0,0,1,10,18,4,5,26,0.17,1,0,2,7,15,1.02,0.85,0.85,5,4,1,1,110992,NA,0,42.5,2,5.05,26,0.25,1,2,7,15,0.94,0.78,0.84,4,4
271,2,1,1,1,0,0,0,0,0,3,0,13,2,5,13,0.1,0,38,2,11,11,1.02,0.79,2.34,4,2,1,1,111792,1,0,15,3,5.05,8,0.1,0,2,11,12,0.9,0.73,2.28,4,3
272,2,1,1,1,0,0,0,0,0,4,4,11,3,5.05,4,0.2,0,0,1,11,11,0.95,0.74,2.34,4,2,1,1,111492,1,2,14,3,5.25,26,0.2,0,2,11,12,0.94,0.73,2.32,4,3
274,2,1,1,1,0,0,0,0,0,0,0,15,2,5.5,26,0.12,0,27,2,11,10,0.91,0.74,2.34,4,3,1,1,111392,NA,3,7,3,5.05,26,0.2,0,1,11,11,NA,NA,2.32,NA,NA
276,2,1,1,1,0,0,0,0,0,3,5,10,3,5,26,0.25,0,0,2,11,10.5,0.95,0.74,2.19,4,3,1,1,111392,NA,5,15,3,5.05,26,0.28,0,3,11,12,0.95,0.73,2.32,5,3
296,1,1,1,0,0,1,0,0,0,0,5,16,4,5.3,26,0.25,0,50,2,7,16,1.06,0.95,1.01,3,3,1,1,111892,3,4,9,6,5.05,13,NA,0,2,7,16,1.05,0.94,1,3,2
299,2,1,1,0,0,1,0,0,0,0,3,8,2,5,26,NA,0,0,1,10.5,11.5,1.06,0.85,2.34,3,2,1,1,111792,1,6,12,2,5.05,13,0.25,0,1,11,11.5,1.05,0.84,2.32,3,2
301,2,1,1,0,0,1,0,0,0,4,8,12,5,5,11,0.36,1,0,3,11,10.5,1.06,0.85,2.34,3,1,1,1,111492,1,2,7,1,5.05,4,0.5,0,2,11,10.5,0.94,0.84,2.32,3,2
320,2,0,1,1,0,0,0,0,1,0,5,9,2,5,13,0.12,1,0,2,11,12,1.12,0.8,2.45,4,4,1,1,111392,NA,4,6,3,5.05,NA,NA,0,1,11,11,1.05,0.84,2.43,4,3
321,2,0,1,1,0,0,0,0,1,0,3,14,3,5,NA,0.25,0,10,2,10.5,12.5,1.12,0.85,2.45,4,2,1,1,111492,2,4,11,2,5.05,13,0.15,0,1,11,12,1.05,0.84,2.43,4,3
