psv_attack_pref,mk_dv,psv_country_fac,psv_context,psv_context_fac,psv_nuc_effective,mk_context_fac,mk_main_treat,hypothetical,mk_cont_pool,psv_correct_recall,mk_correct_recall,Gender,race,party,mk_context,psv_time,mk_time,psv_abst_conc_score,mk_abst_conc_score,knowledge_scale,nfc_scale,age,edu
2,3,Bolivia,1,Reduced,1,Extra Innocuous,0,1,1,1,1,Male,1,3,1,95.666,95.501,2,1,1,3.125,39,1
1,3,No-Name,0,Original,0,Original,0,0,0,1,0,Female,1,4,0,88.623,20.454,2,1,1,3.5,52,2
NA,3,Syria,1,Reduced,1,Extra Non-Innocuous,0,0,1,NA,0,NA,NA,NA,2,NA,26.581,4,3,NA,NA,NA,NA
2,3,Malaguay,1,Reduced,0,Extra Non-Innocuous,0,1,1,0,0,Female,1,1,2,32.045,38.121,1,2,1,2.375,52,2
1,3,Syria,0,Original,1,Extra Innocuous,1,0,1,0,0,Female,1,1,1,194.112,70.508,5,2,1,3.375,63,1
2,2,Syria,0,Original,1,Extra Non-Innocuous,1,1,1,0,0,NA,NA,NA,2,30.589,77.213,4,2,NA,NA,NA,NA
NA,NA,Malaguay,0,Original,0,Extra Innocuous,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,3,2,NA,NA,NA,NA
1,NA,No-Name,1,Reduced,0,Extra Non-Innocuous,0,0,1,NA,NA,NA,NA,NA,2,156.583,NA,1,3,NA,NA,NA,NA
NA,3,Bolivia,0,Original,0,Extra Non-Innocuous,1,1,1,NA,NA,NA,NA,NA,2,NA,93.503,3,2,NA,NA,NA,NA
1,4,No-Name,1,Reduced,1,Extra Innocuous,0,0,1,1,1,NA,NA,NA,1,6.81,10.407,1,2,NA,NA,NA,NA
NA,NA,Bolivia,0,Original,1,Original,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,4,1,NA,NA,NA,NA
1,NA,Syria,0,Original,0,Extra Non-Innocuous,0,0,1,NA,NA,NA,NA,NA,2,109.344,NA,5,3,NA,NA,NA,NA
1,NA,Malaguay,0,Original,0,Extra Non-Innocuous,0,0,1,NA,NA,NA,NA,NA,2,312.792,NA,3,3,NA,NA,NA,NA
NA,2,No-Name,0,Original,0,Extra Non-Innocuous,1,1,1,NA,1,NA,NA,NA,2,NA,104.785,1,2,NA,NA,NA,NA
NA,NA,Malaguay,1,Reduced,1,Extra Innocuous,0,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA
2,NA,Malaguay,0,Original,1,Extra Non-Innocuous,1,1,1,NA,NA,NA,NA,NA,2,7.585,NA,2,2,NA,NA,NA,NA
NA,NA,No-Name,1,Reduced,0,Original,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA
2,NA,No-Name,0,Original,1,Extra Innocuous,1,1,1,NA,NA,NA,NA,NA,1,295.335,NA,1,1,NA,NA,NA,NA
NA,3,No-Name,0,Original,0,Extra Innocuous,1,0,1,NA,0,NA,NA,NA,1,NA,56.504,2,2,NA,NA,NA,NA
1,4,No-Name,1,Reduced,0,Extra Non-Innocuous,0,1,1,0,0,Male,1,4,2,88.348,150.382,0,2,0,3.5,34,1
2,4,Syria,0,Original,0,Original,1,0,0,0,0,Male,1,1,0,21.794,14.018,5,1,2,3.375,23,1
NA,NA,Bolivia,0,Original,0,Extra Non-Innocuous,0,1,1,NA,NA,NA,NA,NA,2,4.711,NA,3,2,NA,NA,NA,NA
4,2,Bolivia,1,Reduced,1,Extra Innocuous,0,0,1,1,1,Female,1,2,1,86.145,92.999,3,2,0,2.625,36,1
NA,NA,Syria,0,Original,0,Extra Innocuous,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,4,1,NA,NA,NA,NA
NA,2,No-Name,1,Reduced,1,Extra Non-Innocuous,0,0,1,NA,1,NA,NA,NA,2,16.143,30.896,1,3,NA,NA,NA,NA
2,4,No-Name,1,Reduced,0,Extra Non-Innocuous,1,1,1,0,0,Female,1,1,2,11.278,7.38,0,2,1,2.5,99,3
NA,2,Malaguay,1,Reduced,1,Original,0,1,0,NA,NA,NA,NA,NA,0,NA,55.978,1,0,NA,NA,NA,NA
NA,NA,Bolivia,1,Reduced,0,Extra Non-Innocuous,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA
1,NA,Bolivia,0,Original,0,Extra Innocuous,1,0,1,NA,NA,NA,NA,NA,1,4.5,NA,4,2,NA,NA,NA,NA
NA,NA,Bolivia,0,Original,0,Extra Innocuous,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,4,2,NA,NA,NA,NA
NA,3,Syria,1,Reduced,0,Extra Innocuous,1,0,1,NA,NA,NA,NA,NA,1,NA,64.413,4,2,NA,NA,NA,NA
3,3,Malaguay,0,Original,0,Extra Non-Innocuous,0,0,1,0,0,Female,1,2,2,822.813,360.371,3,3,0,3.25,54,1
1,4,Malaguay,1,Reduced,1,Original,1,0,0,0,0,Female,2,1,0,4.948,5.091,2,1,0,3.875,24,2
2,2,Syria,0,Original,0,Extra Innocuous,0,1,1,1,0,Female,1,4,1,231.501,92.233,4,1,0,2.5,55,3
3,4,No-Name,0,Original,1,Extra Innocuous,1,0,1,1,1,Female,1,3,1,111.171,69.666,2,2,1,2.625,59,5
3,4,No-Name,0,Original,0,Extra Non-Innocuous,0,1,1,0,1,Female,1,3,2,9.729,8.158,1,2,1,2.75,51,1
1,4,Malaguay,0,Original,0,Extra Innocuous,0,1,1,0,0,Female,1,2,1,20.42,19.599,2,1,0,2.875,57,2
2,4,Malaguay,1,Reduced,0,Original,0,1,0,0,1,Female,1,3,0,3.821,4.14,1,0,1,2.875,30,2
3,4,Bolivia,0,Original,0,Original,0,0,0,0,0,Female,1,1,0,8.974,8.777,4,1,0,3.125,47,1
1,1,No-Name,0,Original,0,Extra Non-Innocuous,0,1,1,1,1,Female,2,1,2,31.011,143.778,1,2,1,3.625,61,5
1,4,Syria,0,Original,1,Extra Innocuous,0,0,1,0,1,Female,2,1,1,87.841,140.669,5,2,0,3.5,51,1
4,2,No-Name,1,Reduced,1,Extra Non-Innocuous,1,1,1,0,0,Female,3,4,2,8.891,15.63,0,2,0,2.875,53,2
3,3,Malaguay,0,Original,0,Original,1,1,0,1,0,Female,1,1,0,14.997,11.148,2,0,0,2.25,58,1
2,4,Syria,1,Reduced,1,Extra Innocuous,0,0,1,1,1,Male,1,2,1,91.69,70.372,4,2,1,3.125,65,1
1,2,Bolivia,0,Original,1,Extra Innocuous,0,0,1,1,0,Female,2,1,1,268.533,139.961,4,2,1,2.875,59,1
NA,NA,Syria,1,Reduced,1,Original,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,4,1,NA,NA,NA,NA
2,2,Malaguay,1,Reduced,0,Extra Non-Innocuous,0,0,1,0,0,Female,1,3,2,41.512,39.584,2,3,0,2.75,35,1
3,2,No-Name,0,Original,0,Extra Innocuous,0,1,1,1,1,Female,6,2,1,283.512,70.519,1,1,1,3.25,19,1
1,4,Syria,0,Original,1,Extra Non-Innocuous,0,0,1,1,0,Female,2,4,2,11.133,4.127,5,3,1,4,24,1
NA,NA,Syria,0,Original,1,Original,0,1,0,NA,NA,NA,NA,NA,0,NA,NA,4,0,NA,NA,NA,NA
3,4,Malaguay,0,Original,1,Original,1,1,0,1,1,Female,4,2,0,125.205,28.244,2,0,2,2.875,62,1
1,4,Malaguay,1,Reduced,0,Extra Innocuous,0,0,1,0,0,Female,2,1,1,5.433,3.557,2,2,0,1.875,22,1
1,1,Syria,0,Original,1,Extra Non-Innocuous,0,1,1,0,0,Female,1,2,2,12.352,12.968,4,2,0,3,64,1
1,3,No-Name,1,Reduced,0,Original,0,0,0,1,1,Male,5,3,0,81.127,35.414,1,1,2,3.5,63,4
1,1,Bolivia,1,Reduced,1,Extra Innocuous,0,1,1,1,1,Male,1,3,1,71.499,54.099,2,1,2,3.625,51,5
2,4,Bolivia,0,Original,0,Extra Innocuous,1,1,1,1,0,Female,1,3,1,197.296,60.531,3,1,1,3.25,23,1
3,3,Syria,1,Reduced,0,Extra Non-Innocuous,1,0,1,0,0,Female,2,1,2,9.197,10.682,4,3,2,2.5,21,1
3,3,Malaguay,0,Original,1,Original,0,0,0,0,0,Female,1,3,0,7.116,33.07,3,1,1,3.125,61,1
2,3,Malaguay,0,Original,1,Extra Innocuous,1,1,1,0,0,Male,1,4,1,181.59,45.664,2,1,0,2.75,55,1
2,4,Syria,1,Reduced,0,Extra Non-Innocuous,0,0,1,1,0,Female,1,1,2,95.881,58.159,4,3,1,2.625,48,1
2,4,No-Name,1,Reduced,0,Original,0,1,0,0,1,Female,7,4,0,21.687,20.043,0,0,0,2.5,24,1
2,3,No-Name,1,Reduced,0,Extra Innocuous,1,1,1,0,1,Female,2,1,1,3.041,10.833,0,1,0,3,22,1
1,1,Bolivia,0,Original,0,Original,0,1,0,0,0,Male,1,3,0,46.676,30.573,3,0,0,2.5,61,1
