statesabbrev,dv_c_t1,dv_c_t2,dv_p_t2,t2_year,t1_atlargeormulticandidate,t1_openseat,t2_3rdpartyinc,t2_demfrinc,t2_incumbent_has_switched_prty,t2_is_midterm,t2_opend,t2_openr,t2_openseat,t2_redist,t2_repfrinc,t2_specialelectiontoeelect,t2_missingdexp,t2_missingrexp,t2_dexp,t2_rexp,t2_icf
AL,-0.11229550093412399,-0.10721439868211746,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7674000000000001,104.67639999999999,0.9459999799728394
MD,-0.19577020406723022,-0.10541100054979324,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0533,42.2097,0.9459999799728394
MI,-0.11647520214319229,-0.020601000636816025,0,2006,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5.5794,122.5137,0.9459999799728394
IN,-0.002517899964004755,0.02366979978978634,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188.8695,270.7285,0.9459999799728394
PA,0.5,0.10798490047454834,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,325.4226,85.28110000000001,0.9459999799728394
RI,0.1414795070886612,0.24899999797344208,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,215.5761,0.9541999999999999,0.9459999799728394
PA,0.10283070057630539,0.1452648937702179,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,64.9165,1.2463,0.9459999799728394
CA,0.30210208892822266,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76.7138,0,0.9459999799728394
NC,-0.08825840055942535,-0.07157299667596817,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.7747,79.7491,0.9459999799728394
KS,0.05841770023107529,0.15730330348014832,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,185.208,43.345600000000005,0.9459999799728394
NJ,0.20781099796295166,0.2141508013010025,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,109.8407,23.450499999999998,0.9459999799728394
CA,0.14723040163516998,0.15173110365867615,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.2774,7.953,0.9459999799728394
TN,-0.30519551038742065,-0.27723631262779236,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.97619999999999,0.9459999799728394
CA,0.17487719655036926,0.1547698974609375,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,95.2158,13.8766,0.9459999799728394
NJ,-0.07724419981241226,-0.007596000097692013,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,193.251,304.3589,0.9459999799728394
CA,-0.16850079596042633,-0.16411179304122925,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.744900000000001,71.1849,0.9459999799728394
AZ,-0.11774490028619766,-0.0436226986348629,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,151.4638,224.679,0.9459999799728394
IL,0.2064433991909027,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75.7056,0,0.9459999799728394
MD,0.28813129663467407,0.3122834861278534,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98.08630000000001,0,0.9459999799728394
MS,-0.5,-0.1589999943971634,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6398,74.1938,0.9459999799728394
NC,-0.05544450134038925,-0.0013536999467760324,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80.3841,247.5169,0.9459999799728394
FL,-0.14406970143318176,-0.09878840297460556,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.0508,0,0.9459999799728394
FL,-0.2654362916946411,-0.18535169959068298,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.8383,32.2726,0.9459999799728394
OH,-0.09872610121965408,-0.02248550020158291,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,202.1495,299.1572,0.9459999799728394
CA,-0.5,-0.20703010261058807,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2.7672999999999996,68.23400000000001,0.9459999799728394
TX,0.14401039481163025,0.09331139922142029,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69.7499,10.2878,0.9459999799728394
NJ,-0.16563290357589722,-0.13378800451755524,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6902999999999997,164.822,0.9459999799728394
NJ,-0.17486169934272766,-0.16430440545082092,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.4172,47.199200000000005,0.9459999799728394
CA,0.10699299722909927,0.1586965024471283,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,63.735400000000006,1.9095,0.9459999799728394
KY,-0.17915110290050507,-0.05405839905142784,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.3819,197.5693,0.9459999799728394
CO,0.25116661190986633,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,64.2405,0,0.9459999799728394
LA,-0.05000000074505806,-0.206980898976326,0,2006,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,5.7011,162.21089999999998,0.9459999799728394
MD,0.24883300065994263,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,56.095600000000005,0,0.9459999799728394
NY,0.12952660024166107,0.14916419982910156,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136.8799,11.2122,0.9459999799728394
PA,0.5,0.22470100224018097,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65.25489999999999,0.9882,0.9459999799728394
OH,0.14122679829597473,0.16410890221595764,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62.26989999999999,7.0343,0.9459999799728394
IN,0.1828572005033493,0.22186699509620667,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120.801,1.0898999999999999,0.9459999799728394
IL,0.2617948055267334,0.2799670994281769,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,138.0457,3.1038,0.9459999799728394
OK,-0.16055519878864288,-0.11815019696950912,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,40.0837,162.95499999999998,0.9459999799728394
IA,-0.10956580191850662,-0.07193399965763092,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.8932,112.55799999999999,0.9459999799728394
CA,-0.1660722941160202,-0.10662040114402771,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.2765,152.81300000000002,0.9459999799728394
MO,-0.21349969506263733,-0.18915879726409912,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,330.1391,0.9459999799728394
UT,-0.19980190694332123,-0.17900000512599945,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0103,26.272699999999997,0.9459999799728394
AK,-0.2606978118419647,-0.08574630320072174,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.7339,172.88060000000002,0.9459999799728394
NC,0.13979089260101318,0.5,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,1,35.9758,0,0.9459999799728394
HI,0.14953170716762543,0.193539097905159,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82.3229,1.6550999999999998,0.9459999799728394
FL,-0.10522530227899551,-0.03580750152468681,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99.8271,169.14079999999998,0.9459999799728394
VA,0.19423310458660126,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.7323,0,0.9459999799728394
OR,0.04390479996800423,0.05799039825797081,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,203.06459999999998,179.8733,0.9459999799728394
VT,0.17499999701976776,0.04437040165066719,0,2006,0,0,0,0,0,1,1,0,1,0,0,0,0,0,173.7958,113.2968,0.9459999799728394
MI,-0.08126720041036606,-0.057016901671886444,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.4142,87.57079999999999,0.9459999799728394
CA,-0.1495380997657776,-0.1202998012304306,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.1905,94.48519999999999,0.9459999799728394
IL,-0.15023289620876312,-0.08335399627685547,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.584200000000003,101.4819,0.9459999799728394
NY,-0.20666630566120148,-0.13147029280662537,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0193,74.44160000000001,0.9459999799728394
AZ,-0.5,-0.10786580294370651,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.6976,116.7473,0.9459999799728394
SC,0.1305484026670456,0.06924109905958176,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,266.5535,143.18019999999999,0.9459999799728394
NM,-0.044388700276613235,-0.0020391999278217554,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,338.62,490.65959999999995,0.9459999799728394
IN,-0.21056529879570007,-0.1237649992108345,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.325999999999999,53.6985,0.9459999799728394
FL,-0.140146404504776,0.019166400656104088,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,418.59219999999993,522.6161,0.9459999799728394
PA,0.3657155930995941,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,56.465999999999994,0,0.9459999799728394
AZ,-0.1060895025730133,-0.10114490240812302,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.7231,47.4707,0.9459999799728394
SC,-0.5,-0.1125703975558281,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9774,60.6499,0.9459999799728394
FL,0.5,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42.7924,0,0.9459999799728394
MO,-0.14749279618263245,-0.13300320506095886,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.031299999999998,121.5978,0.9459999799728394
CO,0.18827380239963531,0.20679840445518494,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93.2188,1.4747999999999999,0.9459999799728394
CA,0.22425439953804016,0.2458547055721283,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,106.9186,0,0.9459999799728394
ID,-0.195477694272995,-0.027091000229120255,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,76.83239999999999,106.13399999999999,0.9459999799728394
TX,-0.5,-0.10187870264053345,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.2798,146.9488,0.9459999799728394
CA,-0.1378260999917984,-0.11834560334682465,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3154,85.7529,0.9459999799728394
NY,0.006616699974983931,0.2927207946777344,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,85.4559,0,0.9459999799728394
TN,0.19264760613441467,0.2120743989944458,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48.0657,0,0.9459999799728394
MN,-0.0830686017870903,-0.08391270041465759,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.0132,147.8465,0.9459999799728394
CO,-0.22292670607566833,-0.09635700285434723,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,66.9121,99.79729999999999,0.9459999799728394
FL,-0.17592909932136536,-0.14370480179786682,0,2006,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4.1314,97.3082,0.9459999799728394
HI,0.127701997756958,0.11036829650402069,0,2006,0,0,0,0,0,1,1,0,1,0,0,0,0,0,137.49880000000002,23.0411,0.9459999799728394
TX,-0.15814849734306335,-0.1062185987830162,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.2145,73.4383,0.9459999799728394
PA,0.07451970130205154,0.16125820577144623,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,224.8091,47.796,0.9459999799728394
CT,-0.042150501161813736,1.711999939288944e-4,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,241.0306,317.7694,0.9459999799728394
NC,-0.20237350463867188,-0.16527189314365387,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1692,126.2588,0.9459999799728394
NV,-0.20963969826698303,-0.02835259959101677,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,159.4051,167.4281,0.9459999799728394
IL,-0.1908337026834488,-0.164000004529953,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.5581,133.4337,0.9459999799728394
UT,0.05890849977731705,0.11299999803304672,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,162.41649999999998,83.4661,0.9459999799728394
OH,-0.1496025025844574,-0.10620810091495514,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7119,215.785,0.9459999799728394
MA,0.5,0.28241750597953796,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,86.8163,0,0.9459999799728394
NY,0.4246053099632263,0.43927401304244995,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,133.9964,0,0.9459999799728394
TX,-0.07307370007038116,0.05348090082406998,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,357.7997,91.29769999999999,0.9459999799728394
WI,0.21195070445537567,0.2150626927614212,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,66.88550000000001,1.9723,0.9459999799728394
VA,-0.13705720007419586,-0.09685219824314117,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57.798199999999994,106.45150000000001,0.9459999799728394
CO,-0.032698001712560654,-0.014015399850904942,0,2006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,195.118,321.2143,0.9459999799728394
CA,0.1958215981721878,0.2706693112850189,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67.89020000000001,0,0.9459999799728394
LA,0.0020000000949949026,0.0772199034690857,0,2006,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,259.627,193.6495,0.9459999799728394
WI,-0.2015891969203949,0.010728999972343445,0,2006,0,0,0,0,0,1,0,1,1,0,0,0,0,0,318.733,283.1522,0.9459999799728394
CA,0.18011249601840973,0.19830819964408875,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0377,0,0.9459999799728394
VA,-0.14500440657138824,-0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56.665099999999995,0.9459999799728394
NC,0.168265700340271,0.17008230090141296,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.57430000000001,44.6779,0.9459999799728394
TX,-0.06407520174980164,-0.16747809946537018,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.4945,78.1959,0.9459999799728394
CA,0.19622910022735596,0.19250209629535675,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.0945,9.075,0.9459999799728394
MN,0.16128410398960114,0.20614570379257202,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.528499999999994,4.1375,0.9459999799728394
MO,0.039424799382686615,0.17415790259838104,0,2006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,118.4962,0.8300000000000001,0.9459999799728394
CA,0.22028760612010956,0.2233498990535736,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76.32419999999999,4.6274,0.9459999799728394
NY,0.21319949626922607,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,83.79560000000001,0,0.9459999799728394
MI,-0.09648360311985016,-0.02735080011188984,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.3726,310.5161,0.9459999799728394
KS,-0.5,-0.2975614070892334,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.2274,72.3063,0.9459999799728394
MO,-0.16472239792346954,-0.12639600038528442,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.80499999999999,0.9459999799728394
NY,0.3105908930301666,0.3447979986667633,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.0382,8.2425,0.9459999799728394
CA,-0.05591079965233803,-0.10049670189619064,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7182,254.0691,0.9459999799728394
MO,-0.23061800003051758,-0.23069089651107788,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.311999999999999,112.93589999999999,0.9459999799728394
CA,-0.1442227065563202,-0.12699800729751587,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.0516,137.0664,0.9459999799728394
NC,0.08788970112800598,0.13713949918746948,0,2006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,176.6708,220.75189999999998,0.9459999799728394
NY,0.17164850234985352,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,68.57509999999999,0,0.9459999799728394
MO,0.26731470227241516,0.24722249805927277,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.4665,7.255800000000001,0.9459999799728394
OH,0.17429740726947784,0.11219710111618042,0,2006,0,0,0,0,0,1,1,0,1,0,0,0,0,0,127.896,65.0595,0.9459999799728394
WA,0.18985579907894135,0.2059909999370575,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99.577,0,0.9459999799728394
PA,0.5,0.5,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,1,82.9745,0,0.9459999799728394
CT,-0.11031679809093475,0.05273810029029846,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,248.62510000000003,509.5844,0.9459999799728394
FL,-0.153529092669487,-0.06284879893064499,0,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.538,92.5951,0.9459999799728394
